uid,title,the content,writer,Published at,score,comments_quantity
40988076,Prover-Verifier Games improve legibility of language model outputs,,davidbarker,1721236537,122,26
40985433,Reverse-Engineering an IP Camera (2019),,jnord,1721221339,193,100
40993428,Post-Architecture: Premature Abstraction Is the Root of All Evil,,arendjr,1721288976,67,47
40997585,GPT-4o mini: advancing cost-efficient intelligence,,bryanh,1721322135,117,40
40972609,Electra: Pre-Training Text Encoders as Discriminators Rather Than Generators (2020),,luu,1721089100,59,8
40978670,Vulnerable transistors threaten to upend Europa Clipper mission,,cratermoon,1721152213,170,103
40987770,Show HN: VisCircuit – A Note-Taking Website for Electronics and Circuits,"Hi, everyone. I created a note-taking website for electronics and circuits where you can draw circuit diagrams and write text notes at the same time.<p>I am a Digital IC designer, and I self-study different types of analog and digital circuits a lot. However, I found a problem. Circuits have many different architectures and are hard to memorize due to numerous experiential tips. I want to document what I learn in my note app, but I found there is no method for me to easily draw circuit and block diagrams alongside text notes.<p>This issue has bothered me for a long time, from my master&#x27;s school to my current working life. I decided to solve it, so I created a note-taking website specifically for electronics and circuits, called VisCircuit.<p>With VisCircuit, you can easily draw circuit diagrams, block diagrams, and write text notes simultaneously. I have already used it for two weeks and have noted down things I find hard to remember, such as SRAM, amplifier circuits, and PCB components of Arduino and Raspberry Pi. I found this tool really useful for memorizing knowledge about electronics and circuits.<p>Currently, I have opened VisCircuit for alpha testing, and I want to let some people use it and give me feedback. Feel free to try it, and I will really appreciate what you think about this project. Leave any suggestions for improvement. Thank you very much.",darrenyaoyaoyao,1721234774,102,20
40998549,Google URL Shortener links will no longer be available,,mikece,1721328332,14,8
40995141,Anti-ageing 'supermodel granny' drug extends life in mice by 25%,,isaacfrond,1721307396,21,25
40997086,Our website is closed on Sundays,,aendruk,1721319095,28,5
40997697,PyCon 2024 Videos Released,,ampersand42,1721322717,13,0
40982118,Import and Export Markdown in Google Docs,,pentagrama,1721184291,612,126
40996183,Von der Leyen reelected as EU Commission president,,Rinzler89,1721314719,5,0
40978596,Mystery as 4k-year-old axe-heads sent to museum,,thunderbong,1721151652,93,86
40991661,Show HN: Llm2sh – Translate plain-language requests into shell commands,"This is my take on the common &quot;use llms to generate shell commands&quot; utility. Emphasis is placed on good CLI UX, simplicity, and flexibility.<p>`llm2sh` supports multiple LLM providers and lets LLMs generate multi-command sequences to handle complex tasks. There is also limited support for commands requiring `sudo` and other basic input.<p>I recommend using Groq llama3-70b for day-to-day use. The ultra-low latency is a game-changer - its near-instant responses helps `llm2sh` integrate seamlessly into day-to-day tasks without breaking you out of the &#x27;zone&#x27;. For more advanced tasks, swapping to smarter models is just a CLI option away.",RandomBK,1721264568,53,20
40998008,Claude by Anthropic Now on Google Play Store,,vyrotek,1721324500,27,9
40996329,How Many Elite Chess Players Cheat?,,drw,1721315618,4,1
40976474,"NSCopyObject, the griefer that keeps on griefing",,chmaynard,1721136847,127,42
40988669,Can I? Tools,,todsacerdoti,1721239826,38,1
40970560,"Run CUDA, unmodified, on AMD GPUs",,Straw,1721070307,1286,394
